location,size_cluster,mean_rent,count_rent,mean_sale,count_sale,mean_rent_yrly,ratio
"Labaro, Prima Porta, Valle Muricana",huge,8.166666666666666,6,1652.2962962962963,54,98.0,0.05931139603694073
"Labaro, Prima Porta, Valle Muricana",mini,14.2,10,2642.5,6,170.39999999999998,0.06448438978240302
"Labaro, Prima Porta, Valle Muricana",regular,9.0,1,2334.65,120,108.0,0.04625961064827704
"Labaro, Prima Porta, Valle Muricana",small,10.727272727272727,11,2509.0825688073396,109,128.72727272727272,0.051304518363643005
"Lido di Ostia, Ostia Antica, Castel Fusano",big,9.4375,16,2360.5683229813662,322,113.25,0.04797573486751138
"Lido di Ostia, Ostia Antica, Castel Fusano",mini,14.5,2,2952.809523809524,21,174.0,0.05892692996177974
"Lido di Ostia, Ostia Antica, Castel Fusano",regular,12.222222222222221,27,2542.3519163763067,287,146.66666666666666,0.05768936460838798
"Lido di Ostia, Ostia Antica, Castel Fusano",small,18.024390243902438,41,2577.474358974359,156,216.29268292682926,0.08391652168089753
"Lunghezza, Castelverde",big,9.0,1,1751.2229299363057,157,108.0,0.06167118883255378
"Lunghezza, Castelverde",mini,14.0,3,2283.7916666666665,24,168.0,0.07356187626571309
"Lunghezza, Castelverde",regular,8.142857142857142,7,1802.1140350877192,114,97.71428571428571,0.054222032463960804
"Lunghezza, Castelverde",small,9.833333333333334,12,2001.524064171123,187,118.0,0.05895507434174493
"Magliana, Trullo, Parco de' Medici",big,11.75,4,2560.777777777778,126,141.0,0.055061396277172735
"Magliana, Trullo, Parco de' Medici",huge,11.0,1,2340.5,24,132.0,0.05639820551164281
"Magliana, Trullo, Parco de' Medici",mini,15.75,8,3296.5,12,189.0,0.05733353556802669
"Magliana, Trullo, Parco de' Medici",regular,10.666666666666666,3,2601.45,120,128.0,0.04920332891272176
"Magliana, Trullo, Parco de' Medici",small,12.846153846153847,13,2687.7017543859647,114,154.15384615384616,0.05735526492189395
"Marconi, San Paolo",big,9.75,4,3080.5578231292516,147,117.0,0.037980134351495665
"Marconi, San Paolo",mini,20.5,4,3236.5,4,246.0,0.0760080333693805
"Marconi, San Paolo",regular,13.25,8,3279.186440677966,118,159.0,0.04848763645385379
"Marconi, San Paolo",small,14.210526315789474,19,3673.75,88,170.5263157894737,0.0464175068498057
"Mezzocammino, Spinaceto, Tor de' Cenci",big,7.0,1,2319.90625,128,84.0,0.03620835971281167
"Mezzocammino, Spinaceto, Tor de' Cenci",huge,9.4,5,2816.4137931034484,58,112.80000000000001,0.04005093295460111
"Mezzocammino, Spinaceto, Tor de' Cenci",mini,14.0,1,3246.7,10,168.0,0.0517448486155173
"Mezzocammino, Spinaceto, Tor de' Cenci",regular,11.285714285714286,7,3545.09375,64,135.42857142857144,0.0382016897094954
"Mezzocammino, Spinaceto, Tor de' Cenci",small,14.166666666666666,6,3739.38,50,170.0,0.04546208194941407
"Monteverde, Gianicolense, Colli Portuensi, Casaletto",big,13.9,10,3744.0742049469964,283,166.8,0.04455039907585415
"Monteverde, Gianicolense, Colli Portuensi, Casaletto",huge,15.454545454545455,11,4306.412698412699,126,185.45454545454547,0.04306474052589112
"Monteverde, Gianicolense, Colli Portuensi, Casaletto",mini,28.0,5,4649.9,10,336.0,0.07225961848641907
"Monteverde, Gianicolense, Colli Portuensi, Casaletto",regular,15.958333333333334,24,3787.6346153846152,156,191.5,0.05055925912762684
"Monteverde, Gianicolense, Colli Portuensi, Casaletto",small,16.74074074074074,27,4334.380281690141,142,200.88888888888889,0.04634777657546804
"Monti Tiburtini, Pietralata",big,10.272727272727273,11,2764.6236559139784,186,123.27272727272728,0.044589333889633376
"Monti Tiburtini, Pietralata",huge,11.0,1,2867.1290322580644,31,132.0,0.04603908596887974
"Monti Tiburtini, Pietralata",mini,17.5,2,3891.730769230769,26,210.0,0.05396056727775856
"Monti Tiburtini, Pietralata",regular,12.793103448275861,29,3048.550295857988,169,153.51724137931035,0.050357457309427214
"Monti Tiburtini, Pietralata",small,14.92,25,3360.721518987342,158,179.04,0.05327427428558514
"Olgiata, Giustiniana",big,10.571428571428571,14,2331.8653846153848,104,126.85714285714286,0.05440157210364291
"Olgiata, Giustiniana",huge,10.956521739130435,46,2079.6254826254826,259,131.47826086956522,0.06322208588422217
"Olgiata, Giustiniana",mini,11.0,2,2187.5882352941176,17,132.0,0.0603404232434322
"Olgiata, Giustiniana",regular,10.583333333333334,12,2144.65625,96,127.0,0.059216949103148814
"Olgiata, Giustiniana",small,11.344827586206897,29,2631.9574468085107,94,136.13793103448276,0.051724974201069425
"Parioli, Flaminio",big,19.192307692307693,52,5677.036809815951,163,230.30769230769232,0.0405682929357576
"Parioli, Flaminio",huge,22.556962025316455,79,6027.5310344827585,290,270.6835443037975,0.04490786405831018
"Parioli, Flaminio",mini,23.833333333333332,6,6804.181818181818,11,286.0,0.04203297437404804
"Parioli, Flaminio",regular,22.516129032258064,31,5729.280487804878,82,270.19354838709677,0.04716011879017272
"Parioli, Flaminio",small,21.448275862068964,29,6501.340659340659,91,257.37931034482756,0.03958865160757935
"Pigneto, San Lorenzo, Casal Bertone",big,12.555555555555555,9,2901.6710526315787,76,150.66666666666666,0.05192410301988721
"Pigneto, San Lorenzo, Casal Bertone",huge,10.5,4,2975.4347826086955,23,126.0,0.042346752392781475
"Pigneto, San Lorenzo, Casal Bertone",mini,22.142857142857142,35,4291.428571428572,49,265.7142857142857,0.061917443408788284
"Pigneto, San Lorenzo, Casal Bertone",regular,13.7,10,3057.107692307692,130,164.39999999999998,0.05377631949756431
"Pigneto, San Lorenzo, Casal Bertone",small,15.883333333333333,60,3349.2331606217617,193,190.6,0.056908549169092916
"Ponte Mammolo, San Basilio, Tor Cervara",big,10.0,5,2468.2,60,120.0,0.04861842638359939
"Ponte Mammolo, San Basilio, Tor Cervara",huge,1.0,1,1982.6923076923076,13,12.0,0.006052376333656644
"Ponte Mammolo, San Basilio, Tor Cervara",mini,14.0,1,2533.25,8,168.0,0.0663179709858877
"Ponte Mammolo, San Basilio, Tor Cervara",regular,10.777777777777779,9,2418.6052631578946,76,129.33333333333334,0.05347434544340113
"Ponte Mammolo, San Basilio, Tor Cervara",small,12.25,8,2640.927536231884,69,147.0,0.05566226183159189
"Ponte di Nona, Torre Angela",big,8.0,8,1692.9444444444443,90,96.0,0.056705936402717164
"Ponte di Nona, Torre Angela",mini,12.5,2,2182.5185185185187,54,150.0,0.06872793918001628
"Ponte di Nona, Torre Angela",regular,9.142857142857142,7,1949.2397660818713,171,109.71428571428571,0.05628567999862852
"Ponte di Nona, Torre Angela",small,11.25,28,2197.953191489362,235,135.0,0.061420780261713506
"Porta di Roma, Casal Boccone",big,8.0,2,2799.8333333333335,78,96.0,0.03428775522352521
"Porta di Roma, Casal Boccone",huge,9.0,1,2478.2727272727275,11,108.0,0.04357873885770881
"Porta di Roma, Casal Boccone",mini,17.0,6,3646.181818181818,22,204.0,0.05594893786775706
"Porta di Roma, Casal Boccone",regular,13.588235294117647,17,3037.3,100,163.05882352941177,0.053685452055908786
"Porta di Roma, Casal Boccone",small,13.555555555555555,9,3381.865671641791,67,162.66666666666666,0.048099682974012695
"Portuense, Villa Bonelli",big,12.166666666666666,6,3227.465909090909,88,146.0,0.04523672878736132
"Portuense, Villa Bonelli",mini,17.0,2,4022.125,8,204.0,0.050719457997948844
"Portuense, Villa Bonelli",regular,13.0,4,3153.4761904761904,42,156.0,0.04946921764341694
"Portuense, Villa Bonelli",small,14.0,8,3482.5777777777776,45,168.0,0.04824012864034304
"Prati, Borgo, Mazzini, Delle Vittorie",big,18.705882352941178,34,5058.187878787879,165,224.47058823529414,0.04437766916026165
"Prati, Borgo, Mazzini, Delle Vittorie",huge,20.772727272727273,22,5439.164179104478,134,249.27272727272728,0.04582923387941718
"Prati, Borgo, Mazzini, Delle Vittorie",mini,24.22222222222222,9,5500.0,3,290.66666666666663,0.05284848484848484
"Prati, Borgo, Mazzini, Delle Vittorie",regular,22.11764705882353,17,5720.590909090909,88,265.4117647058823,0.04639586520408263
"Prati, Borgo, Mazzini, Delle Vittorie",small,24.304347826086957,23,6198.9672131147545,61,291.6521739130435,0.04704851048349051
"Re di Roma, San Giovanni",big,13.0,10,4114.367346938776,147,156.0,0.037915914366778436
"Re di Roma, San Giovanni",huge,16.6,5,4111.729166666667,48,199.20000000000002,0.048446770671301105
"Re di Roma, San Giovanni",mini,22.181818181818183,11,4467.0,15,266.1818181818182,0.059588497466267785
"Re di Roma, San Giovanni",regular,15.333333333333334,18,4183.178571428572,84,184.0,0.043985690990275675
"Re di Roma, San Giovanni",small,16.6,25,4245.180722891566,83,199.20000000000002,0.04692379736057898
"Salario, Trieste",big,16.770833333333332,48,4838.241758241758,182,201.25,0.041595689106931955
"Salario, Trieste",huge,16.372093023255815,43,5468.51269035533,197,196.46511627906978,0.035926608824657216
"Salario, Trieste",mini,21.75,8,5459.25,8,261.0,0.04780876494023904
"Salario, Trieste",regular,16.678571428571427,28,4992.78125,96,200.1428571428571,0.04008644623532367
"Salario, Trieste",small,19.97222222222222,36,5507.688,125,239.66666666666666,0.04351493161316811
"Talenti, Monte Sacro, Nuovo Salario",big,11.75,32,3291.035714285714,392,141.0,0.042843655384214696
"Talenti, Monte Sacro, Nuovo Salario",huge,11.0,4,3462.779069767442,172,132.0,0.038119671321931906
"Talenti, Monte Sacro, Nuovo Salario",mini,19.0625,16,3983.1,20,228.75,0.057430142351434815
"Talenti, Monte Sacro, Nuovo Salario",regular,12.26923076923077,26,3551.8322580645163,310,147.23076923076923,0.041452061508951726
"Talenti, Monte Sacro, Nuovo Salario",small,14.84,25,4003.0533333333333,225,178.07999999999998,0.04448604232102828
"Termini, Repubblica",big,17.0,10,4149.428571428572,56,204.0,0.049163395992563516
"Termini, Repubblica",huge,17.88888888888889,9,4854.953846153846,65,214.66666666666669,0.04421600564477626
"Termini, Repubblica",mini,25.5,2,3865.0,5,306.0,0.07917205692108667
"Termini, Repubblica",regular,17.8,5,4383.441176470588,34,213.60000000000002,0.048728839147325835
"Termini, Repubblica",small,21.0,4,4961.5675675675675,37,252.0,0.05079039972109948
"Testaccio, Trastevere",big,22.666666666666668,9,5253.30985915493,71,272.0,0.05177688110781935
"Testaccio, Trastevere",huge,30.444444444444443,9,5014.7037037037035,27,365.3333333333333,0.07285242656779692
"Testaccio, Trastevere",mini,26.25,4,8051.2,5,315.0,0.03912460254372019
"Testaccio, Trastevere",regular,19.3,10,4710.3,40,231.60000000000002,0.0491688427488695
"Testaccio, Trastevere",small,27.857142857142858,28,6011.5675675675675,37,334.2857142857143,0.05560707927316448
"Trigoria, Castel Romano",big,9.6,5,1986.7021276595744,47,115.19999999999999,0.05798554216867469
"Trigoria, Castel Romano",huge,8.0,1,1587.0555555555557,90,96.0,0.06048937585325725
"Trigoria, Castel Romano",mini,15.0,1,2512.0,11,180.0,0.07165605095541401
"Trigoria, Castel Romano",regular,10.333333333333334,3,2197.3529411764707,17,124.0,0.05643153526970954
"Trigoria, Castel Romano",small,14.0,5,2866.0,29,168.0,0.05861828332170272
"Trionfale, Monte Mario, Ottavia",big,9.2,5,2596.7105263157896,114,110.39999999999999,0.04251532809728908
"Trionfale, Monte Mario, Ottavia",huge,12.5,2,2587.6136363636365,44,150.0,0.05796846866628606
"Trionfale, Monte Mario, Ottavia",mini,18.625,8,3115.7916666666665,24,223.5,0.07173136843231388
"Trionfale, Monte Mario, Ottavia",regular,12.588235294117647,17,2683.3432835820895,134,151.05882352941177,0.05629500498637581
"Trionfale, Monte Mario, Ottavia",small,14.45,20,2989.3947368421054,114,173.39999999999998,0.05800505295034199
