posting_title,price,rooms,sqm,toilets,floor,link,location,tipologie,city
"Trilocale via Aurelia, Gregorio VII - Piccolomini, Roma",440000.0,3,129.0,2,3,https://www.immobiliare.it/annunci/97095024/,Gregorio VII - Piccolomini,na,Roma
"Attico via Capo le case, Spagna, Roma",2400000.0,4,180.0,2,4,https://www.immobiliare.it/annunci/102626806/,Spagna,na,Roma
"Appartamento via Adolfo Gandiglio, Colli Portuensi - Casaletto, Roma",1230000.0,5+,225.0,3,5+,https://www.immobiliare.it/annunci/102567050/,Colli Portuensi - Casaletto,na,Roma
"Trilocale via Della Serenissima 175, Villa Gordiani, Roma",229000.0,3,90.0,1,3,https://www.immobiliare.it/annunci/102167024/,Villa Gordiani,na,Roma
"Quadrilocale via Amerigo Vespucci, Testaccio, Roma",540000.0,4,103.0,2,4,https://www.immobiliare.it/annunci/101144883/,Testaccio,na,Roma
"Trilocale via del Casale di San Basilio 264, Ponte Mammolo, Roma",165000.0,3,90.0,2,3,https://www.immobiliare.it/annunci/100392526/,Ponte Mammolo,na,Roma
"Appartamento via Archimede, Euclide, Roma",1290000.0,5+,244.0,3,5+,https://www.immobiliare.it/annunci/96826260/,Euclide,na,Roma
"Trilocale via Alberto Litta Modignani, Mostacciano, Roma",395000.0,3,126.0,2,3,https://www.immobiliare.it/annunci/103910593/,Mostacciano,na,Roma
"Appartamento Lungotevere della Vittoria, Mazzini - Delle Vittorie, Roma",995000.0,5+,200.0,2,5+,https://www.immobiliare.it/annunci/103017836/,Mazzini - Delle Vittorie,na,Roma
"Loft via Margutta 1, Piazza del Popolo, Roma",999000.0,3,85.0,1,3,https://www.immobiliare.it/annunci/102448196/,Piazza del Popolo,na,Roma
"Appartamento via Adige, Trieste - Coppedè, Roma",1090000.0,5+,140.0,3,5+,https://www.immobiliare.it/annunci/100998993/,Trieste - Coppedè,na,Roma
"Trilocale via Pandosia, San Giovanni, Roma",559000.0,3,98.0,2,3,https://www.immobiliare.it/annunci/98930384/,San Giovanni,na,Roma
"Attico via dell'Olmata, Colle Oppio, Roma",4160000.0,5+,348.0,3+,5+,https://www.immobiliare.it/annunci/102523712/,Colle Oppio,na,Roma
"Attico viale Camillo Sabatini, Torrino, Roma",375000.0,3,130.0,2,3,https://www.immobiliare.it/annunci/102201410/,Torrino,na,Roma
"Villa bifamiliare via Luigi Pernier, Ostia Antica, Roma",460000.0,5,125.0,3,5,https://www.immobiliare.it/annunci/93022022/,Ostia Antica,na,Roma
"Bilocale via Anastasio 2, Gregorio VII - Piccolomini, Roma",430000.0,2,90.0,2,2,https://www.immobiliare.it/annunci/79969313/,Gregorio VII - Piccolomini,na,Roma
"Trilocale via Dei Tizi, San Lorenzo, Roma",600000.0,3,100.0,2,3,https://www.immobiliare.it/annunci/104307417/,San Lorenzo,na,Roma
"Trilocale via Carlo Sereni 15, Marconi, Roma",269000.0,3,75.0,2,3,https://www.immobiliare.it/annunci/103550808/,Marconi,na,Roma
"Trilocale via Tommaso Salvini, Parioli, Roma",550000.0,3,71.0,1,3,https://www.immobiliare.it/annunci/104113209/,Parioli,na,Roma
"Trilocale via dell'Archetto, Trevi, Roma",1070000.0,3,143.0,2,3,https://www.immobiliare.it/annunci/104036489/,Trevi,na,Roma
"Trilocale via Fratelli Cervi, Mostacciano, Roma",280000.0,3,104.0,1,3,https://www.immobiliare.it/annunci/102714172/,Mostacciano,na,Roma
"Attico via dell'Olmata, Colle Oppio, Roma",2920000.0,4,243.0,3+,4,https://www.immobiliare.it/annunci/102523714/,Colle Oppio,na,Roma
"Bilocale via Andrea Solario, Tintoretto, Roma",269000.0,2,70.0,1,2,https://www.immobiliare.it/annunci/101246963/,Tintoretto,na,Roma
"Trilocale via Luciano Conti 50, Ponte di Nona, Roma",196000.0,3,79.0,2,3,https://www.immobiliare.it/annunci/101194563/,Ponte di Nona,na,Roma
"Appartamento via Nicolò Piccinni, Africano - Villa Chigi, Roma",755000.0,5+,180.0,2,5+,https://www.immobiliare.it/annunci/99827060/,Africano - Villa Chigi,na,Roma
"Quadrilocale via Vallombrosa, Cortina d'Ampezzo, Roma",499000.0,4,140.0,2,4,https://www.immobiliare.it/annunci/99804780/,Cortina d'Ampezzo,na,Roma
"Trilocale via D'ascanio, Montecitorio, Roma",1200000.0,3,135.0,2,3,https://www.immobiliare.it/annunci/98233286/,Montecitorio,na,Roma
"Trilocale via dei Malatesta 41, Pisana - Bravetta, Roma",379000.0,3,106.0,2,3,https://www.immobiliare.it/annunci/104266945/,Pisana - Bravetta,na,Roma
"Bilocale via Nino Taranto 30, Malafede, Roma",159000.0,2,40.0,1,2,https://www.immobiliare.it/annunci/104015203/,Malafede,na,Roma
"Trilocale piazza Augusto Albini, Garbatella, Roma",467000.0,3,91.0,2,3,https://www.immobiliare.it/annunci/103554166/,Garbatella,na,Roma
"Attico via Degli Spagnoli, Montecitorio, Roma",900000.0,2,82.0,1,2,https://www.immobiliare.it/annunci/102503320/,Montecitorio,na,Roma
"Villa unifamiliare largo dell'olgiata 15, Olgiata, Roma",1200000.0,5+,700.0,3+,5+,https://www.immobiliare.it/annunci/102211926/,Olgiata,na,Roma
"Appartamento via Ettore Petrolini, Parioli, Roma",2500000.0,5+,287.0,3+,5+,https://www.immobiliare.it/annunci/101945918/,Parioli,na,Roma
"Trilocale via Riccardo Forster, Fonte Meravigliosa, Roma",420000.0,3,123.0,2,3,https://www.immobiliare.it/annunci/101523519/,Fonte Meravigliosa,na,Roma
"Appartamento via Barnaba Oriani, Parioli, Roma",2380000.0,5+,300.0,3,5+,https://www.immobiliare.it/annunci/101385409/,Parioli,na,Roma
"Attico via Renato Fucini, Talenti - Monte Sacro, Roma",760000.0,5+,186.0,2,5+,https://www.immobiliare.it/annunci/99866762/,Talenti - Monte Sacro,na,Roma
"Attico viale della Grande Muraglia, Torrino, Roma",389000.0,3,94.0,2,3,https://www.immobiliare.it/annunci/93826790/,Torrino,na,Roma
"Appartamento via Bonaldo Stringher, Vigna Clara - Vigna Stelluti, Roma",1000000.0,5+,231.0,3+,5+,https://www.immobiliare.it/annunci/103893505/,Vigna Clara - Vigna Stelluti,na,Roma
"Appartamento via Lucilio, Balduina, Roma",620000.0,5,164.0,2,5,https://www.immobiliare.it/annunci/100581756/,Balduina,na,Roma
"Trilocale via Carlo Emilio Gadda 87, Fonte Ostiense, Roma",339000.0,3,132.0,1,3,https://www.immobiliare.it/annunci/98536254/,Fonte Ostiense,na,Roma
"Attico via del Pianeta Venere, Torrino, Roma",598000.0,5,176.0,3,5,https://www.immobiliare.it/annunci/86599708/,Torrino,na,Roma
"Appartamento via Portuense, Portuense, Roma",430000.0,5,98.0,1,5,https://www.immobiliare.it/annunci/102613430/,Portuense,na,Roma
"Trilocale via Cristoforo Colombo 318, Garbatella, Roma",298000.0,3,94.0,2,3,https://www.immobiliare.it/annunci/101631861/,Garbatella,na,Roma
"Appartamento via Giovanni Lanza 200, Colle Oppio, Roma",1140000.0,5+,210.0,2,5+,https://www.immobiliare.it/annunci/104094319/,Colle Oppio,na,Roma
"Villa bifamiliare via Castello Tesino, Infernetto, Roma",335000.0,4,150.0,3,4,https://www.immobiliare.it/annunci/101468079/,Infernetto,na,Roma
"Appartamento via del Caucaso, Eur, Roma",748000.0,5+,225.0,3,5+,https://www.immobiliare.it/annunci/100544008/,Eur,na,Roma
Palazzo - Edificio in Vendita,1950000.0,5+,300.0,3+,5+,https://www.immobiliare.it/annunci/98091414/,Parioli,na,Roma
"Quadrilocale via Nora Ricci 14/16, Malafede, Roma",239000.0,4,80.0,1,4,https://www.immobiliare.it/annunci/104279121/,Malafede,na,Roma
"Trilocale via Enrico Fermi, Marconi, Roma",525000.0,3,128.0,2,3,https://www.immobiliare.it/annunci/103745420/,Marconi,na,Roma
"Appartamento via Francesco Siacci, Parioli, Roma",1390000.0,5+,251.0,2,5+,https://www.immobiliare.it/annunci/103088068/,Parioli,na,Roma
"Trilocale piazza Adele Zoagli Mameli, Garbatella, Roma",305000.0,3,97.0,2,3,https://www.immobiliare.it/annunci/102601396/,Garbatella,na,Roma
"Appartamento via Lucrezio Caro, Prati, Roma",800000.0,5+,156.0,1,5+,https://www.immobiliare.it/annunci/100549350/,Prati,na,Roma
"Quadrilocale via della Camilluccia, Camilluccia - Farnesina, Roma",320000.0,4,60.0,1,4,https://www.immobiliare.it/annunci/98665364/,Camilluccia - Farnesina,na,Roma
"Bilocale via Fonteiana, Monteverde Vecchio, Roma",390000.0,2,65.0,1,2,https://www.immobiliare.it/annunci/103323304/,Monteverde Vecchio,na,Roma
"Appartamento via dei Gandolfi, Camilluccia - Farnesina, Roma",665000.0,5,190.0,3,5,https://www.immobiliare.it/annunci/101037731/,Camilluccia - Farnesina,na,Roma
"Appartamento via Molveno, Camilluccia - Farnesina, Roma",650000.0,5,175.0,2,5,https://www.immobiliare.it/annunci/100572980/,Camilluccia - Farnesina,na,Roma
"Trilocale via Collatina 106, Villa Gordiani, Roma",243000.0,3,89.0,1,3,https://www.immobiliare.it/annunci/104235895/,Villa Gordiani,na,Roma
"Quadrilocale via Francesco Bartolomeo Rastrelli 108, Mezzocammino, Roma",335000.0,4,124.0,2,4,https://www.immobiliare.it/annunci/102612696/,Mezzocammino,na,Roma
"Appartamento via del Babuino, Piazza del Popolo, Roma",1270000.0,5,107.0,2,5,https://www.immobiliare.it/annunci/102529144/,Piazza del Popolo,na,Roma
"Trilocale via Guido Ascoli, Castel di Leva, Roma",273000.0,3,137.0,2,3,https://www.immobiliare.it/annunci/86132114/,Castel di Leva,na,Roma
"Trilocale viale Ventuno Aprile, Bologna, Roma",525000.0,3,87.0,1,3,https://www.immobiliare.it/annunci/103944181/,Bologna,na,Roma
"Bilocale via Alberto Lupo 45, Anagnina, Roma",195000.0,2,74.0,1,2,https://www.immobiliare.it/annunci/103095422/,Anagnina,na,Roma
"Trilocale via Erminio Macario, Malafede, Roma",230000.0,3,77.0,1,3,https://www.immobiliare.it/annunci/101182751/,Malafede,na,Roma
"Trilocale via Alberto Marvelli 6, Ponte di Nona, Roma",189000.0,3,87.0,2,3,https://www.immobiliare.it/annunci/99129304/,Ponte di Nona,na,Roma
"Villa unifamiliare via Giovanni Battista Viotti, Infernetto, Roma",690000.0,5+,180.0,2,5+,https://www.immobiliare.it/annunci/103746534/,Infernetto,na,Roma
"Appartamento via Giovanni Gastaldi, Mostacciano, Roma",450000.0,5,177.0,2,5,https://www.immobiliare.it/annunci/99671020/,Mostacciano,na,Roma
"Villa unifamiliare via Farneto, Camilluccia - Farnesina, Roma",3995000.0,5+,700.0,3+,5+,https://www.immobiliare.it/annunci/104323985/,Camilluccia - Farnesina,na,Roma
"Appartamento via Genova, Monti, Roma",649000.0,5,150.0,2,5,https://www.immobiliare.it/annunci/104020973/,Monti,na,Roma
"Attico via dell'Olmata, Colle Oppio, Roma",7070000.0,5+,590.0,3+,5+,https://www.immobiliare.it/annunci/102523710/,Colle Oppio,na,Roma
"Appartamento via Francesco Ferrara, Vigna Clara - Vigna Stelluti, Roma",695000.0,5,168.0,2,5,https://www.immobiliare.it/annunci/101879324/,Vigna Clara - Vigna Stelluti,na,Roma
"Villa bifamiliare largo dell'Olgiata 15, Olgiata, Roma",820000.0,5+,300.0,3+,5+,https://www.immobiliare.it/annunci/101497445/,Olgiata,na,Roma
"Quadrilocale via Bartolomeo Avanzini, Pisana - Bravetta, Roma",279000.0,4,129.0,2,4,https://www.immobiliare.it/annunci/89324595/,Pisana - Bravetta,na,Roma
"Bilocale via dei Bruzi, San Lorenzo, Roma",270000.0,2,37.0,1,2,https://www.immobiliare.it/annunci/104054517/,San Lorenzo,na,Roma
"Trilocale via Fonteiana, Monteverde Vecchio, Roma",490000.0,3,78.0,2,3,https://www.immobiliare.it/annunci/103323308/,Monteverde Vecchio,na,Roma
"Trilocale via Carlo Arturo Jemolo, San Basilio, Roma",295000.0,3,102.0,2,3,https://www.immobiliare.it/annunci/102120208/,San Basilio,na,Roma
"Quadrilocale via Rodolfo Lanciani, Bologna, Roma",295000.0,4,105.0,2,4,https://www.immobiliare.it/annunci/101577611/,Bologna,na,Roma
"Trilocale via Angelo Secchi, 9, Parioli, Roma",666000.0,3,130.0,2,3,https://www.immobiliare.it/annunci/101486721/,Parioli,na,Roma
"Villa unifamiliare via del Pigneto, Pigneto, Roma",1380000.0,5+,296.0,3+,5+,https://www.immobiliare.it/annunci/101307317/,Pigneto,na,Roma
"Quadrilocale via Pio VIII, Gregorio VII - Piccolomini, Roma",750000.0,4,171.0,2,4,https://www.immobiliare.it/annunci/99964772/,Gregorio VII - Piccolomini,na,Roma
"Villa bifamiliare via della Castelluccia di San Paolo, Castel di Leva, Roma",399000.0,4,142.0,3,4,https://www.immobiliare.it/annunci/92627842/,Castel di Leva,na,Roma
"Attico via Camillo Porzio, Appio Latino, Roma",740000.0,3,140.0,1,3,https://www.immobiliare.it/annunci/102878628/,Appio Latino,na,Roma
"Quadrilocale via Eugenio Checchi, Monti Tiburtini, Roma",320000.0,4,85.0,2,4,https://www.immobiliare.it/annunci/102062618/,Monti Tiburtini,na,Roma
"Villa unifamiliare largo dell'olgiata 15, Olgiata, Roma",1750000.0,5+,750.0,3+,5+,https://www.immobiliare.it/annunci/102028858/,Olgiata,na,Roma
